filename,path,description,data_type,exists,start_date,end_date,rows,fields,has_price,has_volume,has_fee,has_cash,has_asset,has_positions,trade_level_attribution,evidence_level,notes
母版交易记录-20250101-20251231.txt,母版交易记录-20250101-20251231.txt,JQ trades 2025 full year,jq_trades,True,2025-01-02,2025-12-29,745,see description (txt format),True,True,True,False,False,True,False,B,
母版持仓&资金记录-20250101-20250618.txt,母版持仓&资金记录-20250101-20250618.txt,JQ positions 2025 H1,jq_positions,True,2025-01-02,2025-06-19,1220,see description (txt format),False,True,False,True,True,True,False,A,
母版交易记录-20260501-20260623.txt,母版交易记录-20260501-20260623.txt,JQ trades 2026 May-Jun,jq_trades,True,2026-05-06,2026-06-23,142,see description (txt format),True,True,True,False,False,True,False,B,
母版持仓&资金记录-20260501-20260623.txt,母版持仓&资金记录-20260501-20260623.txt,JQ positions 2026 May-Jun,jq_positions,True,2026-05-06,2026-06-24,547,see description (txt format),False,True,False,True,True,True,False,A,
jq_trades_normalized.csv,research/local_port_v0/task_003/jq_trades_normalized.csv,JQ trades normalized (003),jq_trades_normalized,True,,,112,"﻿trade_date,trade_time,source_timestamp,source_sequence,source_line_no,raw_security_code,normalized_security_code,security_name,side,quantity,price,gross_amount,commission,stamp_tax,transfer_fee",True,True,True,False,True,False,False,B,
jq_portfolio_normalized.csv,research/local_port_v0/task_003/jq_portfolio_normalized.csv,JQ portfolio normalized (003),jq_portfolio,True,,,507,"﻿record_date,record_time,snapshot_type,source_sequence,source_line_no,available_cash,total_asset,reported_position_market_value,calculated_position_market_value,cash_ratio,raw_security_code,normalized_security_code,security_name,position_quantity,available_quantity",True,True,True,True,True,True,False,B,
local_trades_normalized.csv,research/local_port_v0/task_003/local_trades_normalized.csv,local trades normalized (003),local_trades,True,2026-05-06,2026-05-26,58,"trade_date,code,price,amount,commission,side,trade_id",True,True,True,False,False,False,True,A,
local_portfolio_normalized.csv,research/local_port_v0/task_003/local_portfolio_normalized.csv,local portfolio normalized (003),local_portfolio,True,2026-05-06,2026-06-24,35,"date,cash,total_value,positions_value,position_count",False,False,False,True,True,True,False,A,
daily_alignment.csv,research/local_port_v0/task_003/daily_alignment.csv,daily alignment 003,daily_alignment,True,2026-05-06,2026-06-24,35,"date,jq_start_cash,local_start_cash,jq_start_asset,local_start_asset,jq_end_cash,local_end_cash,jq_end_asset,local_end_asset,jq_trade_count,local_order_count,local_fill_count,jq_position_count,local_position_count,cash_difference",False,False,False,True,True,True,False,A,
trade_alignment.csv,research/local_port_v0/task_003/trade_alignment.csv,trade alignment 003,trade_alignment,True,2026-05-06,2026-06-23,112,"date,sequence,security,side,jq_quantity,local_requested_quantity,local_filled_quantity,jq_price,local_price,local_order_status,local_rejection_reason,alignment_status",True,True,False,False,False,False,False,B,
