差异来源,证据等级,可量化贡献(pp),方向,结论
区间差异,B,~15-18,聚宽更高,聚宽起始约2018-03包含2018-2019两年贡献约523%；本地2020-01-01起无call_auction数据无法复刻
策略代码差异,A,0,无,同SHA 7a72ae2母版策略未修改
本地Research vs jq_parity,A,0,无,006F-A已证实两引擎模式结果完全一致
2025交易差异,A,<0.02,无方向偏向,651行逐笔对比55.91%完全匹配；85%数量差异是JQ qty=0导出缺陷；真实差异41笔为级联残余
2026短期分叉,A,不可外推,局部local>JQ,05-14首分叉300405.XSHE信号差异；30天级联放大14.6万；但方向与全周期相反不能外推
数据源差异-分钟close,A,<0.001,无方向,8笔14:00 sell价差0.01-0.06元；HData vs JQ分钟close自然差异
数据源差异-ETF精度,A,<0.01已消除,无方向,511880 3位精度bug已修复；新回测已消除
数据源差异-market_cap,B,无法量化,可能双向,task_004已对比部分差异；可能驱动信号分叉但全周期影响不可证明
数据源差异-call_auction缺失,B,无法量化,聚宽更高,2018-2019本地无call_auction数据无法复刻；与区间差异重叠
成交模型差异,A,<0.01,无方向,16个维度全部一致；仅8笔价差来自数据源非模型差异
统计口径差异,A,0,无,公式完全一致；反向重算结果完全一致；贡献=0
聚宽摘要缺失完整明细,C,不可量化,限制项,无聚宽全周期净值曲线和逐笔交易；不能做全周期A级归因
